accuracy,loss,val_accuracy,val_loss
0.9478535652160645,73.71742248535156,0.9709897637367249,0.5782225131988525
0.970811665058136,0.5015037059783936,0.9709897637367249,0.4369295537471771
0.9708969593048096,0.39042872190475464,0.9709897637367249,0.3492390811443329
0.9708969593048096,0.31761273741722107,0.9709897637367249,0.28908759355545044
0.9708969593048096,0.26681873202323914,0.9709897637367249,0.2464437186717987
0.9708969593048096,0.23035237193107605,0.9709897637367249,0.2154807299375534
0.9708969593048096,0.20380067825317383,0.9709897637367249,0.19281934201717377
0.9708969593048096,0.1842910349369049,0.9709897637367249,0.17607717216014862
0.9708969593048096,0.16990762948989868,0.9709897637367249,0.16378599405288696
0.9708969593048096,0.15914839506149292,0.9709897637367249,0.15451835095882416
0.9708969593048096,0.15113681554794312,0.9709897637367249,0.14761418104171753
0.9708969593048096,0.1452595591545105,0.9709897637367249,0.1426166445016861
0.9708969593048096,0.14097252488136292,0.9709897637367249,0.13899864256381989
0.9708969593048096,0.13789094984531403,0.9709897637367249,0.1363963633775711
0.9708969593048096,0.13570313155651093,0.9709897637367249,0.13457521796226501
0.9708969593048096,0.13417094945907593,0.9709897637367249,0.13329219818115234
0.9708969593048096,0.133200004696846,0.9709897637367249,0.13252882659435272
0.9708969593048096,0.1325492262840271,0.9709897637367249,0.13200412690639496
0.9708969593048096,0.13214664161205292,0.9709897637367249,0.1316770315170288
0.9708969593048096,0.13191376626491547,0.9709897637367249,0.13149696588516235
