loss,val_loss
0.8616979122161865,0.8197768330574036
0.801819920539856,0.7956997752189636
0.7805472016334534,0.7799907922744751
0.7673417329788208,0.7706876993179321
0.7603747844696045,0.7664931416511536
0.7552774548530579,0.7610009908676147
0.750328540802002,0.7567829489707947
0.746167778968811,0.7531483173370361
0.7427625060081482,0.7493152618408203
0.7394860982894897,0.7472389340400696
0.7375574707984924,0.7451745867729187
0.7361453771591187,0.7443365454673767
0.7350245118141174,0.7428288459777832
0.7338866591453552,0.7423055171966553
0.732580840587616,0.7408663630485535
0.7317453622817993,0.7405381798744202
0.7309005856513977,0.7398812174797058
0.7302343845367432,0.7394676804542542
0.7294490337371826,0.737614631652832
0.7280077934265137,0.7370772957801819
