,AUC,Precision,Recall,accuracy,loss,val_AUC,val_Precision,val_Recall,val_accuracy,val_loss,learning_rate
0,0.6606989502906799,0.6139745116233826,0.6219052672386169,0.6154467463493347,3.1438441276550293,0.8159502148628235,0.6237263679504395,0.9224973320960999,0.6829924583435059,2.381453037261963,0.0010000000474974513
1,0.7883514761924744,0.713912844657898,0.7360064387321472,0.7205328345298767,1.9385039806365967,0.907258152961731,0.6767600178718567,0.9623250961303711,0.7513455152511597,1.5575525760650635,0.0010000000474974513
2,0.8592353463172913,0.7737074494361877,0.8013993501663208,0.7835037708282471,1.3356348276138306,0.9447697401046753,0.7194244861602783,0.9687836170196533,0.7954789996147156,1.1149299144744873,0.0010000000474974513
3,0.9011372327804565,0.8135073184967041,0.8557589054107666,0.8297901153564453,0.9840431213378906,0.9651638269424438,0.765442430973053,0.9870828986167908,0.8423035740852356,0.8441050052642822,0.0010000000474974513
4,0.9338489770889282,0.852399468421936,0.8842841982841492,0.8655812740325928,0.7531365752220154,0.9780445098876953,0.8077601194381714,0.9860064387321472,0.8756727576255798,0.6468566060066223,0.0010000000474974513
5,0.9445616602897644,0.8665966391563416,0.8880516886711121,0.8756727576255798,0.6247644424438477,0.9832239151000977,0.8566073179244995,0.9838535785675049,0.9095801711082458,0.5049228072166443,0.0010000000474974513
6,0.9526239037513733,0.8799264430999756,0.9012379050254822,0.8891280889511108,0.5368878841400146,0.9871622323989868,0.8760724663734436,0.9892357587814331,0.9246501326560974,0.4264669716358185,0.0010000000474974513
7,0.9630478620529175,0.888802707195282,0.9249192476272583,0.9046016931533813,0.4573763906955719,0.9876320958137512,0.8822394013404846,0.9838535785675049,0.9262648224830627,0.38287094235420227,0.0010000000474974513
8,0.9679465293884277,0.8980974555015564,0.9273412227630615,0.9110602736473083,0.41337770223617554,0.990521252155304,0.9276248812675476,0.979547917842865,0.9515607953071594,0.3202991485595703,0.0010000000474974513
9,0.969240128993988,0.9050865173339844,0.9289558529853821,0.915769636631012,0.38679391145706177,0.9897305965423584,0.9229989647865295,0.9806243181228638,0.9494079947471619,0.2957381308078766,0.0010000000474974513
10,0.9728640913963318,0.9100446105003357,0.9337998032569885,0.9207481145858765,0.3596862852573395,0.9920200705528259,0.9206827282905579,0.9870828986167908,0.9510226249694824,0.2853728234767914,0.0010000000474974513
11,0.9765231609344482,0.9179852604866028,0.9367599487304688,0.9265338778495789,0.33571282029151917,0.9915699362754822,0.9290060997009277,0.9860064387321472,0.9553282856941223,0.2769049108028412,0.0010000000474974513
12,0.9778499603271484,0.9221871495246887,0.9440258145332336,0.932185173034668,0.32269132137298584,0.993190348148346,0.9601259231567383,0.9849300384521484,0.9720129370689392,0.23859333992004395,0.0010000000474974513
13,0.9800887107849121,0.9224340319633484,0.9504843950271606,0.9352798461914062,0.30803942680358887,0.9943014979362488,0.9390863180160522,0.9956942796707153,0.9655543565750122,0.23450922966003418,0.0010000000474974513
14,0.9833825826644897,0.9335099458694458,0.9483315348625183,0.9403929114341736,0.2881455421447754,0.9947071075439453,0.9474226832389832,0.9892357587814331,0.9671689867973328,0.22105392813682556,0.0010000000474974513
15,0.9804495573043823,0.9264898896217346,0.949677050113678,0.9371635913848877,0.29858145117759705,0.9950703382492065,0.9514462947845459,0.9913886189460754,0.9703983068466187,0.21724706888198853,0.0010000000474974513
16,0.9824003577232361,0.9341684579849243,0.9432185292243958,0.9383745789527893,0.29089921712875366,0.995309054851532,0.9555785059928894,0.9956942796707153,0.9747039675712585,0.2171982079744339,0.0010000000474974513
17,0.9846420288085938,0.9384615421295166,0.9520990252494812,0.9448331594467163,0.26993098855018616,0.9934782981872559,0.9532224535942078,0.9870828986167908,0.9693218469619751,0.22095683217048645,0.0010000000474974513
18,0.9908048510551453,0.9566149115562439,0.9612486362457275,0.9588267207145691,0.23643992841243744,0.9965448379516602,0.9655532240867615,0.9956942796707153,0.980086088180542,0.18531201779842377,0.00010000000474974513
19,0.9919297695159912,0.9567868709564209,0.9712055921554565,0.9636706113815308,0.22024740278720856,0.9973500370979309,0.9666318893432617,0.9978471398353577,0.9817007780075073,0.17235474288463593,0.00010000000474974513
