,accuracy,loss,val_accuracy,val_loss,learning_rate,test_loss,test_accuracy,precision,recall,f1_score,roc_auc
0,0.925685703754425,0.5708746314048767,0.9581118822097778,0.2386380285024643,0.0005000000237487257,0.08969437330961227,0.9514514803886414,0.6704067321178121,0.991701244813278,0.8,0.9826089831545188
1,0.956005334854126,0.18709497153759003,0.9587371349334717,0.16338136792182922,0.0005000000237487257,0.08969437330961227,0.9514514803886414,0.6704067321178121,0.991701244813278,0.8,0.9826089831545188
2,0.9572556018829346,0.15273480117321014,0.9402938485145569,0.17289352416992188,0.0005000000237487257,0.08969437330961227,0.9514514803886414,0.6704067321178121,0.991701244813278,0.8,0.9826089831545188
3,0.9575681686401367,0.13281629979610443,0.9527977705001831,0.1401773989200592,0.0005000000237487257,0.08969437330961227,0.9514514803886414,0.6704067321178121,0.991701244813278,0.8,0.9826089831545188
4,0.9573337435722351,0.12380912154912949,0.9596748948097229,0.11756119132041931,0.0005000000237487257,0.08969437330961227,0.9514514803886414,0.6704067321178121,0.991701244813278,0.8,0.9826089831545188
5,0.9576463103294373,0.11469472944736481,0.9537355303764343,0.1195298433303833,0.0005000000237487257,0.08969437330961227,0.9514514803886414,0.6704067321178121,0.991701244813278,0.8,0.9826089831545188
6,0.9572556018829346,0.11075843870639801,0.9565489292144775,0.1114652007818222,0.0005000000237487257,0.08969437330961227,0.9514514803886414,0.6704067321178121,0.991701244813278,0.8,0.9826089831545188
7,0.956161618232727,0.10670914500951767,0.9584245085716248,0.1091466099023819,0.0005000000237487257,0.08969437330961227,0.9514514803886414,0.6704067321178121,0.991701244813278,0.8,0.9826089831545188
8,0.9562397599220276,0.10695293545722961,0.9593623280525208,0.10768907517194748,0.0005000000237487257,0.08969437330961227,0.9514514803886414,0.6704067321178121,0.991701244813278,0.8,0.9826089831545188
9,0.9574900269508362,0.10347553342580795,0.9596748948097229,0.10583639144897461,0.0005000000237487257,0.08969437330961227,0.9514514803886414,0.6704067321178121,0.991701244813278,0.8,0.9826089831545188
10,0.9567086100578308,0.10077205300331116,0.9599875211715698,0.09962974488735199,0.0005000000237487257,0.08969437330961227,0.9514514803886414,0.6704067321178121,0.991701244813278,0.8,0.9826089831545188
11,0.9567867517471313,0.09840473532676697,0.9590497016906738,0.10142842680215836,0.0005000000237487257,0.08969437330961227,0.9514514803886414,0.6704067321178121,0.991701244813278,0.8,0.9826089831545188
12,0.9546768665313721,0.10085894912481308,0.9577993154525757,0.11048077046871185,0.0005000000237487257,0.08969437330961227,0.9514514803886414,0.6704067321178121,0.991701244813278,0.8,0.9826089831545188
13,0.9556146264076233,0.10156130790710449,0.9596748948097229,0.09894686937332153,0.0005000000237487257,0.08969437330961227,0.9514514803886414,0.6704067321178121,0.991701244813278,0.8,0.9826089831545188
14,0.9552238583564758,0.09875409305095673,0.9596748948097229,0.09629074484109879,0.0005000000237487257,0.08969437330961227,0.9514514803886414,0.6704067321178121,0.991701244813278,0.8,0.9826089831545188
15,0.9553020000457764,0.09691334515810013,0.9599875211715698,0.09756754338741302,0.0005000000237487257,0.08969437330961227,0.9514514803886414,0.6704067321178121,0.991701244813278,0.8,0.9826089831545188
16,0.9579588770866394,0.0957464724779129,0.9596748948097229,0.0961337611079216,0.0005000000237487257,0.08969437330961227,0.9514514803886414,0.6704067321178121,0.991701244813278,0.8,0.9826089831545188
17,0.9543642997741699,0.09912730008363724,0.9593623280525208,0.09824512153863907,0.0005000000237487257,0.08969437330961227,0.9514514803886414,0.6704067321178121,0.991701244813278,0.8,0.9826089831545188
18,0.956005334854126,0.09628254920244217,0.9596748948097229,0.09494423121213913,0.0005000000237487257,0.08969437330961227,0.9514514803886414,0.6704067321178121,0.991701244813278,0.8,0.9826089831545188
19,0.9549112915992737,0.09483365714550018,0.9593623280525208,0.09820924699306488,0.0005000000237487257,0.08969437330961227,0.9514514803886414,0.6704067321178121,0.991701244813278,0.8,0.9826089831545188
20,0.9567086100578308,0.09647215902805328,0.960300087928772,0.09545150399208069,0.0005000000237487257,0.08969437330961227,0.9514514803886414,0.6704067321178121,0.991701244813278,0.8,0.9826089831545188
21,0.9562397599220276,0.0963161289691925,0.9596748948097229,0.0968373566865921,0.0005000000237487257,0.08969437330961227,0.9514514803886414,0.6704067321178121,0.991701244813278,0.8,0.9826089831545188
22,0.9569430351257324,0.09579820930957794,0.9540481567382812,0.10258033871650696,0.0005000000237487257,0.08969437330961227,0.9514514803886414,0.6704067321178121,0.991701244813278,0.8,0.9826089831545188
23,0.9557709097862244,0.09418639540672302,0.9596748948097229,0.09472973644733429,0.0005000000237487257,0.08969437330961227,0.9514514803886414,0.6704067321178121,0.991701244813278,0.8,0.9826089831545188
24,0.9543642997741699,0.0936434417963028,0.9599875211715698,0.09304390102624893,0.0005000000237487257,0.08969437330961227,0.9514514803886414,0.6704067321178121,0.991701244813278,0.8,0.9826089831545188
