,AUC,Precision,Recall,accuracy,loss,val_AUC,val_Precision,val_Recall,val_accuracy,val_loss
0,0.5786999464035034,0.5427852869033813,0.5882560014724731,0.5463695526123047,0.6812533736228943,0.6365429162979126,0.0422535203397274,0.4588235318660736,0.6825938820838928,0.6730324029922485
1,0.6095390319824219,0.5595439672470093,0.6385372877120972,0.5679500699043274,0.6679121851921082,0.5547875761985779,0.03482045605778694,0.3764705955982208,0.6791808605194092,0.6779584884643555
2,0.5353951454162598,0.5231543779373169,0.5481715798377991,0.5242615938186646,0.689507007598877,0.6134994029998779,0.04593176022171974,0.4117647111415863,0.7348122596740723,0.5948041677474976
3,0.6132082939147949,0.5641672015190125,0.7083333134651184,0.5805643200874329,0.6682640314102173,0.6479974985122681,0.03914893791079521,0.5411764979362488,0.6013652086257935,0.6660029888153076
4,0.603035569190979,0.5629942417144775,0.6446026563644409,0.5721255540847778,0.676045835018158,0.6582156419754028,0.040861811488866806,0.6470588445663452,0.5491467714309692,0.7631444334983826
5,0.5984590649604797,0.5591065287590027,0.715101957321167,0.5755977630615234,0.6764365434646606,0.5773968696594238,0.03606028109788895,0.7882353067398071,0.38259387016296387,0.6356146335601807
6,0.5948221683502197,0.5700550675392151,0.6097925305366516,0.5749384760856628,0.6792581081390381,0.6119529008865356,0.037371132522821426,0.6823529601097107,0.48088738322257996,0.7004393935203552
7,0.5961431264877319,0.5639373660087585,0.6617439985275269,0.5750263929367065,0.6784638166427612,0.6642241477966309,0.03826199844479561,0.6941176652908325,0.4849829375743866,0.6906328201293945
8,0.6068680882453918,0.5665201544761658,0.6797643899917603,0.5798171758651733,0.6742951273918152,0.614105224609375,0.03663793206214905,0.4000000059604645,0.6774743795394897,0.6319377422332764
9,0.6021036505699158,0.5604752898216248,0.6965541243553162,0.5751582384109497,0.6756248474121094,0.6158110499382019,0.03826674073934555,0.800000011920929,0.41092151403427124,0.6515944004058838
10,0.5905422568321228,0.5502731800079346,0.7437587976455688,0.5679500699043274,0.6776485443115234,0.6334911584854126,0.03684483468532562,0.8352941274642944,0.361774742603302,0.6866106986999512
11,0.5922392010688782,0.5516757965087891,0.7263537049293518,0.5680379867553711,0.6765239238739014,0.5986167192459106,0.03555304557085037,0.7411764860153198,0.4092150032520294,0.6436235308647156
12,0.5936973690986633,0.5563720464706421,0.6788854002952576,0.5687851905822754,0.6784252524375916,0.6230910420417786,0.03805365040898323,0.7176470756530762,0.46552902460098267,0.704062819480896
13,0.6172716021537781,0.5799340605735779,0.5873769521713257,0.5809599161148071,0.6703434586524963,0.6478735208511353,0.04432132840156555,0.5647059082984924,0.6341297030448914,0.6244387626647949
14,0.6147192716598511,0.5627910494804382,0.6905766725540161,0.5770481824874878,0.670062780380249,0.6491140127182007,0.03532875329256058,0.8470588326454163,0.3245733678340912,0.7065628170967102
15,0.5948907732963562,0.5515151619911194,0.7359353303909302,0.5687412023544312,0.6757359504699707,0.6034798622131348,0.031138790771365166,0.8235294222831726,0.2515358328819275,0.7322939038276672
16,0.6004552841186523,0.5538337826728821,0.7257384061813354,0.5705432295799255,0.6744117736816406,0.6347503662109375,0.03970880061388016,0.7058823704719543,0.49624574184417725,0.6812386512756348
17,0.6052758693695068,0.5611910820007324,0.6925105452537537,0.5755098462104797,0.6728172898292542,0.5871622562408447,0.03764861449599266,0.6705882549285889,0.49317407608032227,0.6718130707740784
18,0.5888052582740784,0.5555222034454346,0.6512833833694458,0.5650931596755981,0.680424690246582,0.5708694458007812,0.03454332426190376,0.6941176652908325,0.42832764983177185,0.6737675666809082
19,0.5864044427871704,0.5480484962463379,0.6838080286979675,0.5599507689476013,0.6783756017684937,0.6229918003082275,0.03569553792476654,0.800000011920929,0.3672354817390442,0.698684573173523
