,accuracy,loss,val_accuracy,val_loss
0,0.968165934085846,0.13236644864082336,0.9709897637367249,0.12389658391475677
1,0.9708969593048096,0.10871562361717224,0.9709897637367249,0.10839417576789856
2,0.9708969593048096,0.10221938043832779,0.9709897637367249,0.11425862461328506
3,0.9709823131561279,0.09843958914279938,0.9709897637367249,0.10395945608615875
4,0.9708969593048096,0.09637921303510666,0.9709897637367249,0.1031714603304863
5,0.9718357920646667,0.09309102594852448,0.9709897637367249,0.10522470623254776
6,0.9719211459159851,0.09022050350904465,0.9720136523246765,0.10223173350095749
7,0.9727746248245239,0.08817000687122345,0.9723549485206604,0.10420604050159454
8,0.9733720421791077,0.08234505355358124,0.9733788371086121,0.10624223202466965
9,0.9749935865402222,0.07844646275043488,0.9726962447166443,0.11289927363395691
10,0.9764444828033447,0.07449086010456085,0.9733788371086121,0.10893827676773071
11,0.9765298366546631,0.07018640637397766,0.9733788371086121,0.11706435680389404
12,0.9777246713638306,0.06620317697525024,0.9740614295005798,0.11910188943147659
13,0.978492796421051,0.06217595562338829,0.9726962447166443,0.12137730419635773
14,0.9797729849815369,0.05776910111308098,0.970648467540741,0.133309468626976
15,0.9814798831939697,0.051549699157476425,0.9723549485206604,0.14076273143291473
16,0.9823333621025085,0.049564093351364136,0.9716723561286926,0.14876887202262878
17,0.9843816757202148,0.04355943575501442,0.9716723561286926,0.16191847622394562
18,0.9843816757202148,0.04059666767716408,0.9699658751487732,0.17174535989761353
19,0.9871127605438232,0.034080229699611664,0.9723549485206604,0.1947137862443924
