accuracy,loss,val_accuracy,val_loss
0.5154902935028076,0.6978403329849243,0.032764505594968796,0.70896977186203
0.4715370833873749,0.6951171159744263,0.029010238125920296,0.730671226978302
0.2731074392795563,0.6940290331840515,0.9709897637367249,0.6399262547492981
0.5933259129524231,0.6933720111846924,0.7484641671180725,0.6858406066894531
0.6068959832191467,0.6939684748649597,0.1730375438928604,0.7115095257759094
0.47503626346588135,0.693474531173706,0.4051194489002228,0.7056415677070618
0.6116753220558167,0.6931401491165161,0.20307166874408722,0.7126016616821289
0.5024323463439941,0.6929697394371033,0.658703088760376,0.6932662725448608
0.5771101713180542,0.6927077174186707,0.2358361780643463,0.7162184119224548
0.5507382154464722,0.6928752660751343,0.09829351305961609,0.730339765548706
0.34292054176330566,0.6919696927070618,0.7665529251098633,0.6549679636955261
0.6654433608055115,0.6916694045066833,0.38327646255493164,0.7129775881767273
0.46291711926460266,0.688503086566925,0.48566552996635437,0.6927084922790527
0.4793035686016083,0.6747449636459351,0.34505119919776917,0.7180962562561035
0.4854484796524048,0.6840312480926514,0.44812285900115967,0.6960955262184143
0.46470940113067627,0.6771881580352783,0.33344709873199463,0.6976580619812012
0.5497140884399414,0.6870343089103699,0.3918088674545288,0.7194846868515015
0.49253222346305847,0.685942530632019,0.37849828600883484,0.7229037880897522
0.5301698446273804,0.6777902245521545,0.1832764446735382,0.8800873160362244
0.4920201301574707,0.6665845513343811,0.5481228828430176,0.6315150856971741
