,AUC,Precision,Recall,accuracy,loss,val_AUC,val_Precision,val_Recall,val_accuracy,val_loss
0,0.9205530285835266,0.823167622089386,0.8589134812355042,0.8372011184692383,0.3564116954803467,0.775236189365387,0.09429824352264404,0.5058823823928833,0.8447098731994629,0.3388100266456604
1,0.9898162484169006,0.9461184740066528,0.9770569801330566,0.9607067704200745,0.12303061783313751,0.7395616769790649,0.2295081913471222,0.3294117748737335,0.9484641551971436,0.1998867243528366
2,0.997229814529419,0.9782909750938416,0.9942862391471863,0.9861111044883728,0.051763080060482025,0.7356828451156616,0.3448275923728943,0.3529411852359772,0.9617747664451599,0.2083376944065094
3,0.9987099170684814,0.9877102971076965,0.9961321949958801,0.9918688535690308,0.02980946935713291,0.7143057584762573,0.3913043439388275,0.3176470696926117,0.9658703207969666,0.24172888696193695
4,0.9991054534912109,0.993000864982605,0.9977144598960876,0.9953410625457764,0.020091982558369637,0.6909749507904053,0.4057970941066742,0.3294117748737335,0.9665529131889343,0.25645148754119873
5,0.9993289113044739,0.9944823980331421,0.9981539845466614,0.9963080286979675,0.016599955037236214,0.7164767980575562,0.3717948794364929,0.34117648005485535,0.9641638398170471,0.26887768507003784
6,0.9993836283683777,0.9942100048065186,0.9962201118469238,0.9952092170715332,0.017408447340130806,0.706411600112915,0.24786324799060822,0.34117648005485535,0.9508532285690308,0.31185445189476013
7,0.9998777508735657,0.9971050024032593,0.9991209506988525,0.9981100559234619,0.007300755940377712,0.69039386510849,0.3513513505458832,0.30588236451148987,0.9634812474250793,0.3208286464214325
8,0.9996629357337952,0.9957879781723022,0.997538685798645,0.9966596364974976,0.010556413792073727,0.6893870234489441,0.3552631437778473,0.3176470696926117,0.9634812474250793,0.29155781865119934
9,0.9996452927589417,0.9950868487358093,0.9970112442970276,0.9960442781448364,0.013851404190063477,0.672817051410675,0.5,0.2235294133424759,0.9709897637367249,0.3543405830860138
10,0.9995680451393127,0.9972783327102661,0.9985056519508362,0.997890293598175,0.009038794785737991,0.6821006536483765,0.4444444477558136,0.2823529541492462,0.9689419865608215,0.35553085803985596
11,1.0,1.0,1.0,1.0,0.0004713965463452041,0.6745684146881104,0.5,0.2823529541492462,0.9709897637367249,0.3785313665866852
12,0.9999999403953552,1.0,1.0,1.0,0.00015496778360102326,0.6643461585044861,0.5116279125213623,0.25882354378700256,0.9713310599327087,0.40052345395088196
13,1.0,1.0,1.0,1.0,9.996237349696457e-05,0.6754512786865234,0.5,0.29411765933036804,0.9709897637367249,0.40598347783088684
14,1.0,1.0,1.0,1.0,6.93736583343707e-05,0.6650842428207397,0.4893617033958435,0.2705882489681244,0.970648467540741,0.423140287399292
15,1.0,1.0,1.0,1.0,4.9363807193003595e-05,0.6764580607414246,0.4901960790157318,0.29411765933036804,0.970648467540741,0.4288695752620697
16,1.0,1.0,1.0,1.0,3.443437526584603e-05,0.6766752600669861,0.48076921701431274,0.29411765933036804,0.9703071713447571,0.4388958513736725
17,1.0,1.0,1.0,1.0,2.4243987354566343e-05,0.6718246936798096,0.5208333134651184,0.29411765933036804,0.9716723561286926,0.45496779680252075
18,1.0,1.0,1.0,1.0,1.7264106645598076e-05,0.6777276396751404,0.48076921701431274,0.29411765933036804,0.9703071713447571,0.4652913212776184
19,1.0,1.0,1.0,1.0,1.2583732313942164e-05,0.6724119186401367,0.5102040767669678,0.29411765933036804,0.9713310599327087,0.4796885550022125
