,accuracy,loss,val_accuracy,val_loss
0,0.9693607687950134,0.1477215588092804,0.9709897637367249,0.13132981956005096
1,0.9708969593048096,0.13236922025680542,0.9709897637367249,0.13224560022354126
2,0.9708969593048096,0.13263428211212158,0.9709897637367249,0.1312914490699768
3,0.9708969593048096,0.13223984837532043,0.9709897637367249,0.13167348504066467
4,0.9708969593048096,0.1322994977235794,0.9709897637367249,0.1364176720380783
5,0.9708969593048096,0.13229352235794067,0.9709897637367249,0.131086066365242
6,0.9708969593048096,0.13198770582675934,0.9709897637367249,0.13107267022132874
7,0.9708969593048096,0.1318785846233368,0.9709897637367249,0.1311880648136139
8,0.9708969593048096,0.13194572925567627,0.9709897637367249,0.1312209665775299
9,0.9708969593048096,0.13208915293216705,0.9709897637367249,0.13128508627414703
10,0.9708969593048096,0.13227105140686035,0.9709897637367249,0.1312779188156128
11,0.9708969593048096,0.13192494213581085,0.9709897637367249,0.13195858895778656
12,0.9708969593048096,0.13173775374889374,0.9709897637367249,0.12992842495441437
13,0.9706409573554993,0.13188715279102325,0.9709897637367249,0.1320672184228897
14,0.9708969593048096,0.13221263885498047,0.9709897637367249,0.13139773905277252
15,0.9708969593048096,0.13188162446022034,0.9709897637367249,0.13153396546840668
16,0.9708969593048096,0.13169026374816895,0.9709897637367249,0.13241727650165558
17,0.9708969593048096,0.13196343183517456,0.9709897637367249,0.13139726221561432
18,0.9708969593048096,0.13158851861953735,0.9709897637367249,0.13125771284103394
19,0.9708969593048096,0.13170696794986725,0.9709897637367249,0.13173776865005493
