,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9676538109779358,0.5171332359313965,0.15032656490802765,0.0,0.0,0.9709897637367249,0.5089631080627441,0.1327919065952301,0.0,0.0
1,0.9708969593048096,0.49384474754333496,0.13223545253276825,0.0,0.0,0.9709897637367249,0.4994727671146393,0.13125251233577728,0.0,0.0
2,0.9708969593048096,0.48705023527145386,0.13247732818126678,0.0,0.0,0.9709897637367249,0.5,0.1314556747674942,0.0,0.0
3,0.9708969593048096,0.49432116746902466,0.1320916712284088,0.0,0.0,0.9709897637367249,0.49233952164649963,0.1314275562763214,0.0,0.0
4,0.9708969593048096,0.4987081289291382,0.13241051137447357,0.0,0.0,0.9709897637367249,0.4910886287689209,0.13126729428768158,0.0,0.0
5,0.9708969593048096,0.48246127367019653,0.13227607309818268,0.0,0.0,0.9709897637367249,0.5222268104553223,0.13132348656654358,0.0,0.0
6,0.9708969593048096,0.508841872215271,0.13187995553016663,0.0,0.0,0.9709897637367249,0.5290396213531494,0.13141672313213348,0.0,0.0
7,0.9698728322982788,0.5296416878700256,0.13449089229106903,0.0,0.0,0.9709897637367249,0.5760384798049927,0.1283217966556549,0.0,0.0
8,0.970811665058136,0.5742954015731812,0.1299017071723938,0.0,0.0,0.9709897637367249,0.5804651975631714,0.1294720470905304,0.0,0.0
9,0.9708969593048096,0.5505526065826416,0.1301499903202057,0.0,0.0,0.9709897637367249,0.5658906102180481,0.12906235456466675,0.0,0.0
10,0.9708969593048096,0.511064887046814,0.13081230223178864,0.0,0.0,0.9709897637367249,0.5723229646682739,0.12861095368862152,0.0,0.0
11,0.9708969593048096,0.5490226745605469,0.13039061427116394,0.0,0.0,0.9709897637367249,0.5509542226791382,0.12949064373970032,0.0,0.0
12,0.9708969593048096,0.5332010984420776,0.1304892897605896,0.0,0.0,0.9709897637367249,0.5478713512420654,0.12922333180904388,0.0,0.0
13,0.9708969593048096,0.5453470945358276,0.13046714663505554,0.0,0.0,0.9709897637367249,0.5654067993164062,0.1306433528661728,0.0,0.0
14,0.9708969593048096,0.5009540319442749,0.1308874487876892,0.0,0.0,0.9709897637367249,0.5314503908157349,0.1298932135105133,0.0,0.0
15,0.9708969593048096,0.5278674364089966,0.13130271434783936,0.0,0.0,0.9709897637367249,0.5320645570755005,0.1298241764307022,0.0,0.0
16,0.9708969593048096,0.5080510973930359,0.13111364841461182,0.0,0.0,0.9709897637367249,0.5273503661155701,0.13007912039756775,0.0,0.0
17,0.9708969593048096,0.5461661219596863,0.13146620988845825,0.0,0.0,0.9709897637367249,0.5923891067504883,0.12996618449687958,0.0,0.0
18,0.9708969593048096,0.6153324842453003,0.12929093837738037,0.0,0.0,0.9709897637367249,0.523661732673645,0.13246136903762817,0.0,0.0
19,0.9708969593048096,0.5299873948097229,0.13189558684825897,0.0,0.0,0.9709897637367249,0.5053365230560303,0.132302924990654,0.0,0.0
