,loss,val_loss
0,0.8478362560272217,0.7636019587516785
1,0.7763784527778625,0.7389881610870361
2,0.7574385404586792,0.7244182229042053
3,0.7473549842834473,0.7176053524017334
4,0.7415147423744202,0.71250981092453
5,0.7363361120223999,0.707381546497345
6,0.7331724762916565,0.7035197615623474
7,0.7304743528366089,0.7008408904075623
8,0.7272467017173767,0.6971089243888855
9,0.7252926230430603,0.6950470805168152
10,0.7228518128395081,0.6926108002662659
11,0.721196711063385,0.6912625432014465
12,0.719638466835022,0.6889590620994568
13,0.7186729311943054,0.6886773109436035
14,0.7181840538978577,0.6880983710289001
15,0.717772901058197,0.6870113015174866
16,0.7170767784118652,0.6864871978759766
17,0.7167872190475464,0.68571537733078
18,0.7162840962409973,0.6850466132164001
19,0.7157003283500671,0.6857956647872925
