loss,val_loss
0.8607001900672913,0.8194056749343872
0.8012664914131165,0.7976323962211609
0.7863411903381348,0.7875145077705383
0.7760211229324341,0.7785099744796753
0.7682792544364929,0.7730578184127808
0.7618482112884521,0.7657252550125122
0.7566307187080383,0.7623919248580933
0.7534341812133789,0.7594398856163025
0.7511755228042603,0.7576565146446228
0.7493528127670288,0.7558436393737793
0.7473952174186707,0.7547374963760376
0.7458027005195618,0.7526457905769348
0.7440935969352722,0.7507805228233337
0.7428091168403625,0.7504985332489014
0.7422109246253967,0.7499794363975525
0.7413834929466248,0.748553991317749
0.7405568361282349,0.7484400868415833
0.7402963042259216,0.7478021383285522
0.7398956418037415,0.7474019527435303
0.7391931414604187,0.7463805675506592
