Model,Loss,Accuracy,Precision,Recall,AUC
LSTM,0.132302924990654,0.9709897637367249,0.0,0.0,0.5053365230560303
CNN,0.21045413613319397,0.9716723561286926,0.523809552192688,0.25882354378700256,0.7073957920074463
