,accuracy,auc_1,loss,precision_1,recall_1,val_accuracy,val_auc_1,val_loss,val_precision_1,val_recall_1
0,0.9682512879371643,0.681891918182373,0.13006700575351715,0.0,0.0,0.9709897637367249,0.7857789993286133,0.11599773168563843,0.0,0.0
1,0.970811665058136,0.8090580701828003,0.10861644148826599,0.0,0.0,0.9709897637367249,0.8166298866271973,0.10553344339132309,0.0,0.0
2,0.9719211459159851,0.8433436155319214,0.1013069599866867,0.8333333134651184,0.043988268822431564,0.9713310599327087,0.8277205228805542,0.1026175320148468,1.0,0.0117647061124444
3,0.9731159806251526,0.865013837814331,0.09621112048625946,0.7599999904632568,0.11143694818019867,0.9730375409126282,0.8185092210769653,0.10449636727571487,0.75,0.10588235408067703
4,0.973628044128418,0.8623054027557373,0.09605949372053146,0.7285714149475098,0.1495601236820221,0.9740614295005798,0.827867329120636,0.1051979586482048,0.6666666865348816,0.21176470816135406
5,0.9739694595336914,0.8826983571052551,0.09158968925476074,0.7045454382896423,0.1818181872367859,0.9713310599327087,0.808179497718811,0.10619017481803894,0.5454545617103577,0.07058823853731155
6,0.9748228788375854,0.893456220626831,0.08775296062231064,0.7395833134651184,0.20821113884449005,0.9740614295005798,0.8061615228652954,0.10705793648958206,0.7368420958518982,0.16470588743686676
7,0.9755910038948059,0.9016237854957581,0.08469798415899277,0.7433628439903259,0.24633431434631348,0.973720133304596,0.8225452303886414,0.1048838198184967,0.6052631735801697,0.2705882489681244
8,0.9768711924552917,0.9135366082191467,0.08045116811990738,0.7966101765632629,0.27565982937812805,0.9692832827568054,0.8166753053665161,0.11129064112901688,0.4528301954269409,0.2823529541492462
9,0.9767005443572998,0.9181999564170837,0.07937972992658615,0.7463768124580383,0.3020527958869934,0.9730375409126282,0.7948371767997742,0.11258895695209503,0.5882353186607361,0.23529411852359772
10,0.9776393175125122,0.9333904981613159,0.07301774621009827,0.8015267252922058,0.30791789293289185,0.9720136523246765,0.795992910861969,0.11217434704303741,0.5319148898124695,0.29411765933036804
11,0.9798583388328552,0.946323037147522,0.06586990505456924,0.8387096524238586,0.3812316656112671,0.9747440218925476,0.7632916569709778,0.12158939242362976,0.7037037014961243,0.2235294133424759
12,0.9800290465354919,0.9554532170295715,0.0618358813226223,0.8322981595993042,0.39296188950538635,0.9744027256965637,0.7770206332206726,0.12525105476379395,0.7777777910232544,0.16470588743686676
13,0.9807971119880676,0.9590736627578735,0.05809347331523895,0.8452380895614624,0.4164222776889801,0.9699658751487732,0.7887873649597168,0.12859679758548737,0.4716981053352356,0.29411765933036804
14,0.9819920063018799,0.9685748815536499,0.05340374633669853,0.8421052694320679,0.4692082107067108,0.970648467540741,0.7704476118087769,0.14486774802207947,0.4888888895511627,0.25882354378700256
15,0.983101487159729,0.9736362099647522,0.04808979481458664,0.8421052694320679,0.5161290168762207,0.9747440218925476,0.7405768632888794,0.1491696685552597,0.6571428775787354,0.2705882489681244
16,0.9838696122169495,0.9832740426063538,0.04186640679836273,0.8619047403335571,0.5307917594909668,0.9723549485206604,0.7338034510612488,0.15629953145980835,0.5666666626930237,0.20000000298023224
17,0.9868566989898682,0.9873731136322021,0.03469124436378479,0.934883713722229,0.589442789554596,0.967576801776886,0.7476500868797302,0.159737691283226,0.4107142984867096,0.2705882489681244
18,0.9872834086418152,0.9874054193496704,0.03120437264442444,0.9247787594795227,0.6129032373428345,0.9709897637367249,0.734795868396759,0.17410273849964142,0.5,0.29411765933036804
19,0.9894170761108398,0.9940876960754395,0.025096459314227104,0.9392712712287903,0.6803519129753113,0.9716723561286926,0.7073957920074463,0.21045413613319397,0.523809552192688,0.25882354378700256
