accuracy,loss,val_accuracy,val_loss,learning_rate
0.850105881690979,0.5588172078132629,0.9062411785125732,0.24806846678256989,9.999999747378752e-05
0.9107269048690796,0.35651469230651855,0.9327873587608337,0.18636374175548553,9.999999747378752e-05
0.9272759556770325,0.28874850273132324,0.941259503364563,0.15786109864711761,9.999999747378752e-05
0.93782639503479,0.254899263381958,0.9459192156791687,0.14359787106513977,9.999999747378752e-05
0.943401575088501,0.23363322019577026,0.9474724531173706,0.1378626525402069,9.999999747378752e-05
0.9464361071586609,0.21930809319019318,0.9531205892562866,0.1293744593858719,9.999999747378752e-05
0.9470712542533875,0.21151939034461975,0.9580627083778381,0.11973308771848679,9.999999747378752e-05
0.9520818591117859,0.19718270003795624,0.9556622505187988,0.11982671171426773,9.999999747378752e-05
0.9541284441947937,0.18752770125865936,0.9600395560264587,0.11148657649755478,9.999999747378752e-05
0.9539873003959656,0.18428020179271698,0.9637108445167542,0.10531329363584518,9.999999747378752e-05
0.9568454623222351,0.17779219150543213,0.962440013885498,0.10364995151758194,9.999999747378752e-05
0.9575864672660828,0.17210547626018524,0.9620164036750793,0.1025540754199028,9.999999747378752e-05
0.9591743350028992,0.1644422858953476,0.9628636240959167,0.09907428920269012,9.999999747378752e-05
0.957868754863739,0.1647719144821167,0.9661112427711487,0.09569068998098373,9.999999747378752e-05
0.9596330523490906,0.15998731553554535,0.9652640223503113,0.09460154175758362,9.999999747378752e-05
0.9588567614555359,0.15824249386787415,0.9676644802093506,0.09321592003107071,9.999999747378752e-05
0.9618560075759888,0.15315215289592743,0.9628636240959167,0.09577768296003342,9.999999747378752e-05
0.9593154788017273,0.15305718779563904,0.9661112427711487,0.09117380529642105,9.999999747378752e-05
0.9623852968215942,0.1470763236284256,0.9644168019294739,0.09115263819694519,9.999999747378752e-05
0.962138295173645,0.14415894448757172,0.96568763256073,0.08764428645372391,9.999999747378752e-05
0.962067723274231,0.14088669419288635,0.9651228189468384,0.08723267167806625,9.999999747378752e-05
0.9634438753128052,0.14188523590564728,0.9709121584892273,0.0827273577451706,9.999999747378752e-05
0.9635144472122192,0.14096516370773315,0.9689353108406067,0.08325529843568802,9.999999747378752e-05
0.9640790224075317,0.13709814846515656,0.971335768699646,0.08157254010438919,9.999999747378752e-05
0.964361310005188,0.13662955164909363,0.9679468870162964,0.08267376571893692,9.999999747378752e-05
0.9639378786087036,0.1344255954027176,0.9697825312614441,0.08089789748191833,9.999999747378752e-05
0.9659138917922974,0.1321811079978943,0.9668172597885132,0.08198673278093338,9.999999747378752e-05
0.9651728868484497,0.1325622797012329,0.9658288359642029,0.0822489857673645,9.999999747378752e-05
0.9652787446975708,0.1297643631696701,0.9692177176475525,0.07920940220355988,9.999999747378752e-05
0.9669018983840942,0.1251642256975174,0.9734538197517395,0.0758579894900322,9.999999747378752e-05
0.9665490388870239,0.12625473737716675,0.9695001244544983,0.07683821767568588,9.999999747378752e-05
0.9669371843338013,0.12652277946472168,0.9717593789100647,0.07536889612674713,9.999999747378752e-05
0.9669018983840942,0.12303821742534637,0.9693589210510254,0.07682889699935913,9.999999747378752e-05
0.9662667512893677,0.1267913281917572,0.9721829891204834,0.07412213832139969,9.999999747378752e-05
0.9682074785232544,0.12171204388141632,0.9703473448753357,0.07478949427604675,9.999999747378752e-05
0.9687014818191528,0.11887633800506592,0.9726065993309021,0.073648601770401,9.999999747378752e-05
0.968948483467102,0.11851637810468674,0.9737362265586853,0.07207709550857544,9.999999747378752e-05
0.9684191942214966,0.12049120664596558,0.9714769721031189,0.07379410415887833,9.999999747378752e-05
0.9667960405349731,0.11633478105068207,0.9748658537864685,0.07000284641981125,9.999999747378752e-05
0.9691249132156372,0.11695165187120438,0.971335768699646,0.07305555045604706,9.999999747378752e-05
0.9673959016799927,0.11874948441982269,0.9707709550857544,0.07269331067800522,9.999999747378752e-05
0.9685603380203247,0.11741337925195694,0.9683704972267151,0.07692612707614899,9.999999747378752e-05
0.9692660570144653,0.11376158148050308,0.9737362265586853,0.06932343542575836,9.999999747378752e-05
0.9690190553665161,0.11331747472286224,0.9696413278579712,0.0719851553440094,9.999999747378752e-05
0.9687367677688599,0.11526376008987427,0.9743010401725769,0.06762245297431946,9.999999747378752e-05
0.9695483446121216,0.11340436339378357,0.9743010401725769,0.06756386160850525,9.999999747378752e-05
0.9684191942214966,0.11490519344806671,0.9730302095413208,0.0686633288860321,9.999999747378752e-05
0.9692307710647583,0.11258958280086517,0.9695001244544983,0.07107116281986237,9.999999747378752e-05
0.968877911567688,0.11389409005641937,0.9759954810142517,0.06644439697265625,9.999999747378752e-05
0.9693013429641724,0.11111384630203247,0.9735950231552124,0.06697861850261688,9.999999747378752e-05
