Fold,AUC,Average_Precision,Precision,Recall,F1_Score,Accuracy,Loss,Training_Accuracy,Validation_Accuracy,Training_Loss,Validation_Loss,Matthews_Corrcoef,PR_AUC,Contamination_Level,Model_Name
1,0.6814309576837416,0.04527604031566907,0.0,0.0,0.0,0.9722823733217844,1.0,0.9722703639514731,0.9722823733217844,1.0,1.0,0.0,0.044172212899780836,0.01,IsolationForest
1,0.6236984966592427,0.05000687526056108,0.0,0.0,0.0,0.9722823733217844,1.0,0.9722703639514731,0.9722823733217844,1.0,1.0,0.0,0.04572808176908164,0.01,LOF
1,0.6477937082405345,0.061197956579083945,0.2,0.03125,0.05405405405405406,0.9696838458207016,0.9459459459459459,0.9722703639514731,0.9696838458207016,1.0,0.9459459459459459,0.06921450757922906,0.05561880988481527,0.01,OneClassSVM
1,0.9240673719376392,0.3674810610864744,0.3611111111111111,0.40625,0.38235294117647056,0.963620614984842,0.6176470588235294,1.0,0.963620614984842,0.0,0.6176470588235294,0.3643477882441324,0.36756272330945566,0.01,RandomForest
1,0.5,0.027717626678215677,0.027717626678215677,1.0,0.0539401601348504,0.027717626678215677,0.9460598398651496,0.02772963604852686,0.027717626678215677,0.9460370994940979,0.9460598398651496,0.0,0.5138588133391079,0.01,DBSCAN
1,0.5774568485523386,0.14357905520205216,0.7692307692307693,0.15625,0.2597402597402597,0.9753139887397142,0.7402597402597403,1.0,0.9753139887397142,0.0,0.7402597402597403,0.33988371802259987,0.47443375837025686,0.01,Ensemble
2,0.7060007241532976,0.04777593327230996,0.0,0.0,0.0,0.9722703639514731,1.0,0.9722763699371887,0.9722703639514731,1.0,1.0,0.0,0.046162100387176025,0.01,IsolationForest
2,0.6823891488413547,0.05378194917912786,0.0,0.0,0.0,0.9722703639514731,1.0,0.9722763699371887,0.9722703639514731,1.0,1.0,0.0,0.05159609195773943,0.01,LOF
2,0.7217440953654188,0.07431815261261812,0.5,0.015625,0.030303030303030304,0.9722703639514731,0.9696969696969697,0.9722763699371887,0.9722703639514731,1.0,0.9696969696969697,0.08470526997870802,0.0682056858847934,0.01,OneClassSVM
2,0.9331411541889483,0.29788307765709676,0.3829787234042553,0.28125,0.32432432432432434,0.9675043327556326,0.6756756756756757,1.0,0.9675043327556326,0.0,0.6756756756756757,0.3119363670660265,0.2966907937315631,0.01,RandomForest
2,0.5,0.02772963604852686,0.02772963604852686,1.0,0.05396290050590219,0.02772963604852686,0.9460370994940979,0.02772363006281135,0.02772963604852686,0.9460484720758693,0.9460370994940979,0.0,0.5138648180242634,0.01,DBSCAN
2,0.591744652406417,0.1296731864322852,0.5714285714285714,0.1875,0.2823529411764706,0.9735701906412478,0.7176470588235294,1.0,0.9735701906412478,0.0,0.7176470588235294,0.3172995373566863,0.39072945035899975,0.01,Ensemble
3,0.6662279968805704,0.04591825757684656,0.0,0.0,0.0,0.9722703639514731,1.0,0.9722763699371887,0.9722703639514731,1.0,1.0,0.0,0.04465124072588232,0.01,IsolationForest
3,0.6804952094474154,0.0515139451882581,0.0,0.0,0.0,0.9722703639514731,1.0,0.9722763699371887,0.9722703639514731,1.0,1.0,0.0,0.04934323353319051,0.01,LOF
3,0.6830645610516934,0.06895340513954575,0.14285714285714285,0.015625,0.028169014084507043,0.970103986135182,0.971830985915493,0.9722763699371887,0.970103986135182,1.0,0.971830985915493,0.0386726739498466,0.06458251947624032,0.01,OneClassSVM
3,0.9386140819964349,0.35475386515011176,0.48,0.375,0.42105263157894735,0.9714038128249567,0.5789473684210527,1.0,0.9714038128249567,0.0,0.5789473684210527,0.4098788934900006,0.3504843246877725,0.01,RandomForest
3,0.5,0.02772963604852686,0.02772963604852686,1.0,0.05396290050590219,0.02772963604852686,0.9460370994940979,0.02772363006281135,0.02772963604852686,0.9460484720758693,0.9460370994940979,0.0,0.5138648180242634,0.01,DBSCAN
3,0.6067012032085561,0.13945223970137316,0.5384615384615384,0.21875,0.3111111111111111,0.9731369150779896,0.6888888888888889,1.0,0.9731369150779896,0.0,0.6888888888888889,0.3320138736479884,0.389437658312225,0.01,Ensemble
