,AUC,Precision,Recall,accuracy,loss,val_AUC,val_Precision,val_Recall,val_accuracy,val_loss
0,0.6341829895973206,0.5914093852043152,0.5928417444229126,0.591630756855011,0.6610625386238098,0.8076719045639038,0.700772225856781,0.7814854979515076,0.7238966822624207,0.5701976418495178
1,0.7680696845054626,0.6905140280723572,0.7012917399406433,0.6934876441955566,0.5730579495429993,0.944053053855896,0.7942206859588623,0.9763185977935791,0.861679196357727,0.4270649552345276
2,0.8541503548622131,0.7585051655769348,0.7919806241989136,0.769913911819458,0.4745255410671234,0.9702348709106445,0.8361991047859192,0.9946178793907166,0.8998923301696777,0.3246138393878937
3,0.8978647589683533,0.8099216818809509,0.8347685933113098,0.8194295167922974,0.4023318588733673,0.9875937700271606,0.837691605091095,1.0,0.9031216502189636,0.2593919336795807
4,0.9311885833740234,0.8450155854225159,0.8759418725967407,0.857642650604248,0.33357906341552734,0.9945830702781677,0.874764621257782,1.0,0.9284176826477051,0.1921064406633377
5,0.9447895884513855,0.8666840195655823,0.8974704146385193,0.8797093629837036,0.2971220910549164,0.9952343106269836,0.8805687427520752,1.0,0.932185173034668,0.16709499061107635
6,0.9617031812667847,0.8839077353477478,0.9179224967956543,0.8986814022064209,0.24744947254657745,0.9975128173828125,0.9450660943984985,1.0,0.9709364771842957,0.1056031882762909
7,0.9654468297958374,0.8917080760002136,0.9173842668533325,0.9029870629310608,0.23467575013637543,0.9985753893852234,0.933668315410614,1.0,0.9644779562950134,0.10526659339666367
8,0.9706321358680725,0.8945736289024353,0.9316469430923462,0.9109257459640503,0.21474754810333252,0.9982810616493225,0.9243780970573425,1.0,0.9590957760810852,0.11132042109966278
9,0.9782910346984863,0.9183031916618347,0.9437566995620728,0.9298977255821228,0.18419627845287323,0.9987810850143433,0.9402834177017212,1.0,0.9682454466819763,0.08408546447753906
10,0.9806932806968689,0.9227535724639893,0.9451022744178772,0.9329924583435059,0.17272795736789703,0.9991536140441895,0.958720326423645,1.0,0.9784714579582214,0.0695919394493103
11,0.9821012616157532,0.9241706132888794,0.9445640444755554,0.9335306882858276,0.165597602725029,0.9981778264045715,0.9355488419532776,1.0,0.9655543565750122,0.0909116119146347
12,0.9828477501869202,0.9281796813011169,0.9564047455787659,0.9412001967430115,0.1592821180820465,0.9989745616912842,0.9508700370788574,1.0,0.9741657972335815,0.06986899673938751
13,0.984126627445221,0.9284595251083374,0.9569429755210876,0.9416038990020752,0.15272250771522522,0.9992010593414307,0.9567456245422363,1.0,0.9773950576782227,0.062182486057281494
14,0.9881030917167664,0.9385872483253479,0.9582884907722473,0.9477933049201965,0.13420741260051727,0.9993168711662292,0.9577319622039795,1.0,0.9779332876205444,0.059365298599004745
15,0.9889055490493774,0.9443125128746033,0.9628632664680481,0.9530408978462219,0.12653888761997223,0.9996529221534729,0.9597107172012329,1.0,0.9790096879005432,0.05329201743006706
16,0.9886190891265869,0.944179892539978,0.9604413509368896,0.9518299102783203,0.1284305453300476,0.9998794198036194,0.9508700370788574,1.0,0.9741657972335815,0.062862828373909
17,0.9898626208305359,0.9459245800971985,0.9650161266326904,0.9549246430397034,0.11946682631969452,0.9992542862892151,0.9450660943984985,1.0,0.9709364771842957,0.0752105638384819
18,0.9904196858406067,0.9487785696983337,0.9720129370689392,0.9597685933113098,0.11571182310581207,0.998725950717926,0.9597107172012329,1.0,0.9790096879005432,0.06059714034199715
19,0.9914701581001282,0.9502500891685486,0.9714747071266174,0.9603067636489868,0.11046011000871658,0.9989491105079651,0.9656964540481567,1.0,0.9822389483451843,0.05156616494059563
