,AUC,Precision,Recall,accuracy,loss,val_AUC,val_Precision,val_Recall,val_accuracy,val_loss,learning_rate
0,0.8906081914901733,0.8070924878120422,0.8069426417350769,0.8070175647735596,2.469890832901001,0.9644681215286255,0.8904694318771362,0.9301634430885315,0.9079093933105469,1.5096153020858765,0.0010000000474974513
1,0.9447804689407349,0.8661670088768005,0.9010580778121948,0.8809059858322144,1.105484127998352,0.9762075543403625,0.9079229235649109,0.9450222849845886,0.9246193766593933,0.7329006791114807,0.0010000000474974513
2,0.9530297517776489,0.8775766491889954,0.9088546633720398,0.8910238742828369,0.6561911106109619,0.9788153767585754,0.9213973879814148,0.9405646324157715,0.9301893711090088,0.4583629071712494,0.0010000000474974513
3,0.9595119953155518,0.8863146305084229,0.9160943031311035,0.8992852568626404,0.46864837408065796,0.9821481704711914,0.921875,0.9643387794494629,0.9413293600082397,0.3401253819465637,0.0010000000474974513
4,0.9610902667045593,0.891421377658844,0.922034502029419,0.9048547148704529,0.3848259449005127,0.9822209477424622,0.9110797643661499,0.9591382145881653,0.9327887296676636,0.2983206808567047,0.0010000000474974513
5,0.9652522802352905,0.9005207419395447,0.9309448599815369,0.9140443801879883,0.3359523117542267,0.9810726642608643,0.9297218322753906,0.9435364007949829,0.936130702495575,0.2694021165370941,0.0010000000474974513
6,0.9666113257408142,0.9042187333106995,0.9270465970039368,0.9144156575202942,0.3210301995277405,0.9867875576019287,0.9389534592628479,0.9598811268806458,0.9487560391426086,0.2337285280227661,0.0010000000474974513
7,0.9680379629135132,0.9049162864685059,0.9328011870384216,0.9173860549926758,0.3039402961730957,0.9838733673095703,0.931034505367279,0.9427934885025024,0.9365020394325256,0.23787929117679596,0.0010000000474974513
8,0.9684895277023315,0.9055646061897278,0.9274178743362427,0.9153439402580261,0.3011486828327179,0.9863187670707703,0.940919041633606,0.95839524269104,0.9491273760795593,0.22495880722999573,0.0010000000474974513
9,0.9702453017234802,0.9089101552963257,0.9335437417030334,0.9199851751327515,0.28851523995399475,0.9851641654968262,0.9110957980155945,0.9821693897247314,0.9431860446929932,0.24338145554065704,0.0010000000474974513
10,0.9695521593093872,0.9067628383636475,0.9333580732345581,0.9186856150627136,0.2901252508163452,0.9877777695655823,0.9367361664772034,0.9680535197257996,0.9513553380966187,0.2052629142999649,0.0010000000474974513
11,0.9702760577201843,0.909221887588501,0.9370707273483276,0.9217488169670105,0.28554996848106384,0.988431453704834,0.9363376498222351,0.9725111722946167,0.9532120227813721,0.20938050746917725,0.0010000000474974513
12,0.9733685851097107,0.9138522744178772,0.9392983317375183,0.9253689646720886,0.27421167492866516,0.9780694246292114,0.9254062175750732,0.9309064149856567,0.9279614090919495,0.2592834234237671,0.0010000000474974513
13,0.9785428047180176,0.9240529537200928,0.9463523030281067,0.9342801570892334,0.24932034313678741,0.9918150305747986,0.9378969669342041,0.9873700141906738,0.9610100388526917,0.1823120266199112,0.00010000000474974513
14,0.982374370098114,0.9329224228858948,0.9552626609802246,0.9432841539382935,0.22671835124492645,0.9930360913276672,0.9433828592300415,0.9903417825698853,0.9654660224914551,0.16521134972572327,0.00010000000474974513
15,0.9849507808685303,0.9371470212936401,0.9548913836479187,0.9454191327095032,0.2124556452035904,0.993929922580719,0.9495380520820618,0.9925705790519714,0.9699220061302185,0.15509648621082306,0.00010000000474974513
16,0.9864838123321533,0.9413478970527649,0.9593465924263,0.9497818350791931,0.19743917882442474,0.9944684505462646,0.9515669345855713,0.9925705790519714,0.9710360169410706,0.14476487040519714,0.00010000000474974513
17,0.9869267344474792,0.9440087676048279,0.9608316421508789,0.9519168138504028,0.19043730199337006,0.9945600628852844,0.9576757550239563,0.991827666759491,0.974006712436676,0.13781991600990295,0.00010000000474974513
18,0.9864062070846558,0.9464123249053955,0.9671431183815002,0.9561867713928223,0.1878042370080948,0.9947189688682556,0.9550641775131226,0.9947994351387024,0.974006712436676,0.1353737860918045,0.00010000000474974513
19,0.9872375726699829,0.9432045221328735,0.9649155139923096,0.953402042388916,0.18353641033172607,0.9948305487632751,0.954448401927948,0.9962853193283081,0.9743779897689819,0.1301145851612091,0.00010000000474974513
