,AUC,Precision,Recall,accuracy,loss,val_AUC,val_Precision,val_Recall,val_accuracy,val_loss,learning_rate
0,0.8921350240707397,0.7996084690093994,0.8341997861862183,0.8125696182250977,2.4597630500793457,0.9559443593025208,0.8653451800346375,0.9398663640022278,0.8968077301979065,1.555841088294983,0.0010000000474974513
1,0.9442903995513916,0.8638874292373657,0.9002970457077026,0.8792239427566528,1.111301064491272,0.9645642042160034,0.897826075553894,0.9198217988014221,0.9075723886489868,0.7807146906852722,0.0010000000474974513
2,0.9536306858062744,0.8789342045783997,0.9125510454177856,0.8934274315834045,0.6582979559898376,0.9675805568695068,0.898924708366394,0.9309576749801636,0.9131402969360352,0.5070866346359253,0.0010000000474974513
3,0.9592291712760925,0.8859288692474365,0.9199777245521545,0.9007612466812134,0.46714916825294495,0.976645827293396,0.9017543792724609,0.953971803188324,0.9250185489654541,0.37444835901260376,0.0010000000474974513
4,0.9629619121551514,0.8970165252685547,0.9266617298126221,0.910137414932251,0.37725314497947693,0.9752569198608398,0.9055397510528564,0.9465478658676147,0.9239049553871155,0.3241554796695709,0.0010000000474974513
5,0.9668271541595459,0.8999460339546204,0.9285183548927307,0.9126439094543457,0.3329187333583832,0.9782322645187378,0.8930041193962097,0.9665924310684204,0.9253897666931152,0.29257747530937195,0.0010000000474974513
6,0.9679955840110779,0.9056978225708008,0.9326030611991882,0.9177497029304504,0.3124941885471344,0.9792726039886475,0.9062719941139221,0.9547141790390015,0.9279881119728088,0.27182984352111816,0.0010000000474974513
7,0.9667894244194031,0.903932511806488,0.9346453547477722,0.9176568984985352,0.30377015471458435,0.9780185222625732,0.9045614004135132,0.9569413661956787,0.9279881119728088,0.26921093463897705,0.0010000000474974513
8,0.9701288342475891,0.9078971147537231,0.9370590448379517,0.9209988713264465,0.28997665643692017,0.9791441559791565,0.9317180514335632,0.942093551158905,0.9365255832672119,0.257117360830307,0.0010000000474974513
9,0.9683089852333069,0.905026912689209,0.9359450340270996,0.9188637137413025,0.29261553287506104,0.9802899956703186,0.9250909090042114,0.9443207383155823,0.9339272379875183,0.2495742291212082,0.0010000000474974513
10,0.969894528388977,0.907001793384552,0.9379873871803284,0.9209060668945312,0.28243130445480347,0.9856297373771667,0.936496376991272,0.9524869918823242,0.9439495205879211,0.2273125946521759,0.0010000000474974513
11,0.9688102006912231,0.907927930355072,0.9355736970901489,0.9203490614891052,0.2832042872905731,0.9832432866096497,0.9084604978561401,0.9725315570831299,0.9372680187225342,0.23935779929161072,0.0010000000474974513
12,0.9681159853935242,0.9063798785209656,0.9311177134513855,0.9174712300300598,0.29056715965270996,0.9858400225639343,0.9332844614982605,0.9450631141662598,0.9387527704238892,0.22076855599880219,0.0010000000474974513
13,0.9693199396133423,0.911685049533844,0.937244713306427,0.9232268929481506,0.2783520519733429,0.9839630722999573,0.9280626773834229,0.9673348069190979,0.9461767077445984,0.21897873282432556,0.0010000000474974513
14,0.9711225032806396,0.9124100804328918,0.9418863654136658,0.9257333874702454,0.2686450183391571,0.979690670967102,0.9128601551055908,0.9643652439117432,0.9361544251441956,0.24025040864944458,0.0010000000474974513
15,0.9718479514122009,0.9134998321533203,0.937244713306427,0.9242480397224426,0.27014192938804626,0.9857280850410461,0.9303160905838013,0.9613956809043884,0.9446918964385986,0.20619986951351166,0.0010000000474974513
16,0.9735156297683716,0.9135467410087585,0.937801718711853,0.924526572227478,0.2603796124458313,0.98502516746521,0.9277899265289307,0.9443207383155823,0.9354120492935181,0.21616366505622864,0.0010000000474974513
17,0.9729533195495605,0.9120445251464844,0.9433717131614685,0.9261975288391113,0.26087746024131775,0.9871572852134705,0.9368650317192078,0.9584261178970337,0.9469190835952759,0.2120649665594101,0.0010000000474974513
18,0.9802441000938416,0.9267718195915222,0.9493130445480347,0.9371518492698669,0.22954794764518738,0.9903401732444763,0.9406657218933105,0.9651076197624207,0.9521158337593079,0.1785663515329361,0.00010000000474974513
19,0.9820765852928162,0.9352374076843262,0.9545117020606995,0.9442071914672852,0.21401892602443695,0.99177086353302,0.9428163170814514,0.9792130589485168,0.9599109292030334,0.16822952032089233,0.00010000000474974513
