,AUC,Precision,Recall,accuracy,loss,val_AUC,val_Precision,val_Recall,val_accuracy,val_loss
0,0.8086617588996887,0.7053312063217163,0.8104696273803711,0.735913872718811,0.5282559394836426,0.8793899416923523,0.7443749904632568,0.8848440051078796,0.7905681133270264,0.4323264956474304
1,0.8836169838905334,0.777429461479187,0.8746983408927917,0.8121228814125061,0.41487812995910645,0.8985564708709717,0.8579831719398499,0.758543848991394,0.8165614604949951,0.4428471624851227
2,0.9262330532073975,0.8390141725540161,0.891033947467804,0.8600203990936279,0.3348381817340851,0.9400299787521362,0.8289645910263062,0.939821720123291,0.8730040788650513,0.3120220899581909
3,0.9467348456382751,0.8653097152709961,0.9075552225112915,0.8831337690353394,0.287357360124588,0.957022488117218,0.8397645354270935,0.9539375901222229,0.8860007524490356,0.2844715118408203
4,0.9593109488487244,0.8850008845329285,0.9342862367630005,0.9064327478408813,0.247583270072937,0.966322124004364,0.9229559898376465,0.8722139596939087,0.8997400403022766,0.2621782124042511
5,0.9664236307144165,0.8945974707603455,0.9405977129936218,0.9148797988891602,0.22459831833839417,0.9696083068847656,0.9024389982223511,0.9071322679519653,0.9045674204826355,0.22729849815368652
6,0.9705354571342468,0.9031344056129456,0.9467235803604126,0.9225842356681824,0.20915749669075012,0.9712914228439331,0.8863483667373657,0.97919762134552,0.9268473982810974,0.22015711665153503
7,0.9755319952964783,0.9126023650169373,0.9517356753349304,0.9302886724472046,0.18946734070777893,0.9827734231948853,0.9283154010772705,0.9621099829673767,0.9439287185668945,0.15923961997032166
8,0.9779248237609863,0.9175570011138916,0.9565621018409729,0.9353012442588806,0.17792350053787231,0.9798322319984436,0.8983050584793091,0.9843982458114624,0.9365020394325256,0.1785859763622284
9,0.9815375208854675,0.9281491041183472,0.961574137210846,0.9435626268386841,0.1577036827802658,0.9836792945861816,0.9290780425071716,0.9732540845870972,0.94949871301651,0.15020622313022614
10,0.9836336374282837,0.9335482716560364,0.9675143957138062,0.9493177533149719,0.14687855541706085,0.9857192635536194,0.9315937757492065,0.981426477432251,0.9546973705291748,0.13015392422676086
11,0.9855756163597107,0.9375672936439514,0.970113217830658,0.9527522325515747,0.1336018145084381,0.9895820617675781,0.9478638768196106,0.9725111722946167,0.9595246911048889,0.10527133196592331
12,0.9849766492843628,0.9381148219108582,0.9736402630805969,0.9547015428543091,0.1319146603345871,0.987710177898407,0.9492856860160828,0.9873700141906738,0.9673227071762085,0.10295070707798004
13,0.9879432320594788,0.9465346336364746,0.9760534763336182,0.9604566693305969,0.11768306791782379,0.9811295866966248,0.9220151901245117,0.9925705790519714,0.9543260335922241,0.14415611326694489
14,0.9886319637298584,0.9482665657997131,0.9799517393112183,0.963241457939148,0.10950980335474014,0.992470920085907,0.9637418389320374,0.9873700141906738,0.9751206636428833,0.08773055672645569
15,0.9892773628234863,0.9486258029937744,0.9803230166435242,0.9636127352714539,0.10886026173830032,0.9869397878646851,0.9417952299118042,0.9977712035179138,0.9680653810501099,0.11603924632072449
16,0.9905874729156494,0.9534004926681519,0.9836643934249878,0.9677898287773132,0.0989612340927124,0.989791750907898,0.9478873014450073,1.0,0.9725213646888733,0.09648706018924713
17,0.9917088150978088,0.9547176361083984,0.9823649525642395,0.9678826928138733,0.09316159784793854,0.9904353022575378,0.9458889961242676,1.0,0.9714073538780212,0.09208698570728302
18,0.9911919832229614,0.9573236703872681,0.9827362298965454,0.969460666179657,0.09506930410861969,0.9908018112182617,0.9603174328804016,0.9888558983802795,0.974006712436676,0.09197875112295151
19,0.9917666912078857,0.9572973251342773,0.9862632155418396,0.9711315035820007,0.08894280344247818,0.9931240677833557,0.9671772718429565,0.9851411581039429,0.9758633375167847,0.07657825946807861
